,평단가,volume,금리,kospi,kosdaq,심리지수,원달러환율
201801,5284.683426753197,794,1.5,2566.46,913.57,111.0,1066.7
201802,5162.512642383576,356,1.5,2427.36,857.06,109.3,1079.58
201803,5559.3304210936685,334,1.5,2445.85,871.09,109.2,1071.89
201804,5408.207363056913,134,1.5,2515.38,875.95,108.2,1067.76
201805,5384.022907926418,139,1.5,2423.01,879.66,109.1,1076.39
201806,5295.365944403524,140,1.5,2326.13,818.22,106.5,1092.8
201807,6018.374549886663,297,1.5,2295.26,775.52,101.9,1122.8
201808,6152.838395392072,728,1.5,2322.88,816.97,99.9,1121.15
201809,5954.082115100389,309,1.5,2343.07,822.27,100.8,1120.6
201810,5654.036773169348,136,1.5,2029.69,648.67,100.1,1130.81
201811,5524.588140015696,70,1.75,2096.86,695.76,96.6,1128.58
201812,4873.305711867879,80,1.75,2041.04,675.65,97.7,1122.9
201901,5628.728784011895,74,1.75,2204.85,716.86,98.4,1122.0
201902,5708.7654483764,49,1.75,2195.44,731.25,100.4,1122.45
201903,5844.578443346293,149,1.75,2140.67,729.31,100.7,1130.72
201904,6491.395292173746,231,1.75,2203.59,754.74,102.5,1140.95
201905,6681.812073513025,389,1.75,2041.74,696.47,98.8,1183.29
201906,6649.408011216747,593,1.75,2130.62,690.53,98.4,1175.62
201907,6681.755989385734,668,1.5,2024.55,630.18,96.9,1175.31
201908,7067.929722430759,362,1.5,1967.79,610.55,93.4,1208.98
201909,7157.645356021766,500,1.5,2063.05,621.76,97.9,1197.55
201910,6873.882862751975,698,1.25,2083.48,658.52,99.5,1184.13
201911,6906.835714727349,533,1.25,2087.96,632.99,101.8,1167.45
201912,6899.746481599324,375,1.25,2197.67,669.83,101.4,1175.84
202001,6103.649395400603,131,1.25,2119.01,642.48,105.0,1164.28
202002,6991.751526763118,242,1.25,1987.01,610.73,97.8,1193.79
202003,6587.7019657872515,148,0.75,1754.64,569.07,79.9,1220.09
202004,6710.708303530912,158,0.75,1947.56,645.18,72.5,1225.23
202005,6486.639592695016,343,0.5,2029.6,713.68,79.1,1228.67
202006,7013.051501414082,824,0.5,2108.33,737.97,83.3,1210.01
202007,6607.723166864089,382,0.5,2249.37,815.3,85.6,1198.9
202008,7163.048184186105,238,0.5,2326.17,848.24,89.4,1186.85
202009,7173.880769319616,181,0.5,2327.89,848.15,80.9,1178.8
202010,7026.070458672642,203,0.5,2267.15,792.65,92.7,1144.68
202011,7443.3711172762005,391,0.5,2591.34,886.11,99.0,1116.76
202012,7514.050647568598,477,0.5,2873.47,968.42,91.0,1095.13
202101,7495.1530433405305,320,0.5,2976.21,928.73,95.3,1097.49
202102,7857.083924502273,219,0.5,3012.95,913.94,97.4,1111.72
202103,7032.1044183332315,175,0.5,3061.42,956.17,100.5,1131.02
202104,7534.705695960582,238,0.5,3147.86,983.45,102.3,1119.4
202105,7236.8281714047025,257,0.5,3203.92,981.78,105.3,1123.28
202106,7864.648057799362,172,0.5,3296.68,1029.96,110.5,1121.3
202107,8539.134627110978,211,0.5,3202.32,1031.14,103.4,1143.98
202108,7861.212470962982,199,0.75,3199.27,1038.33,102.7,1160.34
202109,8053.248972515601,147,0.75,3068.82,1003.27,103.9,1169.54
202110,8578.202139281078,130,0.75,2970.68,992.33,107.0,1182.82
202111,7542.875984924528,113,1.0,2839.01,965.63,107.9,1182.91
202112,8420.125385165316,73,1.0,2977.65,1033.98,104.1,1183.7
202201,7786.489369676859,60,1.25,2663.34,872.87,104.7,1194.01
202202,7333.77727389208,68,1.25,2699.18,881.07,103.3,1198.34
202203,7860.110073443692,93,1.25,2757.65,944.53,103.5,1221.03
202204,8454.796647921745,114,1.5,2695.05,904.75,104.1,1232.34
202205,7879.285400851618,114,1.75,2685.9,893.36,102.9,1269.88
202206,7936.147464513967,73,1.75,2332.64,745.44,96.7,1277.35
202207,8040.813603979231,56,2.25,2451.5,803.62,86.3,1307.4
202208,6935.555018466188,151,2.5,2472.05,807.04,89.0,1318.44
202209,8078.35286493599,32,2.5,2155.49,672.65,91.6,1391.59
202210,6931.885283203524,31,3.0,2293.61,695.33,89.0,1426.66
202211,7625.415170804705,38,3.25,2472.53,729.54,86.7,1364.1
202212,6922.781692226002,43,3.25,2236.4,679.29,90.2,1296.22
202301,7762.35273285077,106,3.5,2425.08,740.49,90.7,1247.25
202302,7901.4697384616165,195,3.5,2412.85,791.6,90.2,1270.74
202303,7862.7859839000175,190,3.5,2476.86,847.52,92.0,1305.73
202304,8243.214138516383,201,3.5,2501.53,842.83,95.1,1320.01
202305,8361.071914215985,270,3.5,2577.12,856.94,98.0,1328.21
202306,8789.291952614565,273,3.5,2564.28,868.24,100.7,1296.71
202307,8650.016658063358,247,3.5,2632.58,935.97,103.2,1286.3
202308,8627.588392149768,280,3.5,2556.27,928.4,103.1,1318.47
202309,8381.031394369349,200,3.5,2465.07,841.02,99.7,1329.47
202310,8845.620143456354,139,3.5,2277.99,736.1,98.1,1350.69
202311,7900.2159444777135,107,3.5,2535.29,831.68,97.2,1310.39
