계약년월,평단가
201801,5284.683426753197
201802,5162.512642383576
201803,5559.3304210936685
201804,5408.207363056913
201805,5384.022907926418
201806,5295.365944403524
201807,6018.374549886663
201808,6152.838395392072
201809,5954.082115100389
201810,5654.036773169348
201811,5524.588140015696
201812,4873.305711867879
201901,5628.728784011895
201902,5708.7654483764
201903,5844.578443346293
201904,6491.395292173746
201905,6681.812073513025
201906,6649.408011216747
201907,6681.755989385734
201908,7067.929722430759
201909,7157.645356021766
201910,6873.882862751975
201911,6906.835714727349
201912,6899.746481599324
202001,6103.649395400603
202002,6991.751526763118
202003,6587.7019657872515
202004,6710.708303530912
202005,6486.639592695016
202006,7013.051501414082
202007,6607.723166864089
202008,7163.048184186105
202009,7173.880769319615
202010,7026.070458672642
202011,7443.3711172762005
202012,7514.050647568598
202101,7495.1530433405305
202102,7857.083924502273
202103,7032.1044183332315
202104,7534.705695960582
202105,7236.8281714047025
202106,7864.648057799362
202107,8539.134627110978
202108,7861.212470962982
202109,8053.248972515601
202110,8578.202139281078
202111,7542.875984924528
202112,8420.125385165316
202201,7786.489369676859
202202,7333.77727389208
202203,7860.110073443692
202204,8454.796647921745
202205,7879.285400851618
202206,7936.147464513967
202207,8040.813603979231
202208,6935.555018466188
202209,8078.35286493599
202210,6931.885283203524
202211,7625.415170804705
202212,6922.781692226002
202301,7762.35273285077
202302,7901.4697384616165
202303,7862.7859839000175
202304,8243.214138516383
202305,8361.071914215985
202306,8789.291952614565
202307,8650.016658063358
202308,8627.588392149768
202309,8381.031394369349
202310,8845.620143456354
202311,7900.2159444777135
